ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,            5.,           20.,            0.,NA,NA,"",       1.66579,      -1.65583,  -181.856E-03,   509.083E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,            0.,           20.,            0.,NA,NA,"",       1.68918,      -1.65310,  -347.260E-03,   177.222E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,            5.,          12.5,            0.,NA,NA,"",       1.41890,      -1.40772,  -177.756E-03,   828.011E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,            5.,            5.,            0.,NA,NA,"",       1.17253,      -1.15960,  -173.656E-03,   1.05278E-06
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,            0.,            5.,            0.,NA,NA,"",       1.20552,      -1.15686,  -339.055E-03,   565.320E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,           -5.,            5.,            0.,NA,NA,"",       1.25956,      -1.15413,  -504.455E-03,   1.18571E-06
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           -5.,          12.5,            0.,NA,NA,"",       1.49162,      -1.40224,  -508.559E-03,   56.2062E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           -5.,           20.,            0.,NA,NA,"",       1.72815,      -1.65036,  -512.665E-03,   634.028E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           15.,           30.,            0.,NA,NA,"",       1.99728,      -1.99212,   143.483E-03,   39.7466E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           7.5,           30.,            0.,NA,NA,"",       1.99076,      -1.98801,  -104.625E-03,   109.479E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            0.,           30.,            0.,NA,NA,"",       2.01502,      -1.98391,  -352.733E-03,   61.1817E-09
C:/temp/dataset/9/11_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,          -7.5,           30.,            0.,NA,NA,"",       2.06897,      -1.97980,  -600.842E-03,   159.117E-09
