ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,            5.,           20.,            0.,NA,NA,"",       1.52160,       1.51534,   137.851E-03,   259.503E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,            0.,           20.,            0.,NA,NA,"",       1.54397,       1.51749,   284.700E-03,   102.640E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,            5.,          12.5,            0.,NA,NA,"",       1.30273,       1.29507,   141.083E-03,   439.323E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,            5.,            5.,            0.,NA,NA,"",       1.08445,       1.07480,   144.316E-03,   886.556E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,            0.,            5.,            0.,NA,NA,"",       1.11563,       1.07696,   291.168E-03,   364.107E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,           -5.,            5.,            0.,NA,NA,"",       1.16462,       1.07912,   438.019E-03,   577.914E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           -5.,          12.5,            0.,NA,NA,"",       1.37020,       1.29938,   434.784E-03,   6.45210E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           -5.,           20.,            0.,NA,NA,"",       1.57974,       1.51965,   431.548E-03,   361.837E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           15.,           30.,            0.,NA,NA,"",       1.81181,       1.80472,  -160.159E-03,   12.5768E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           7.5,           30.,            0.,NA,NA,"",       1.80895,       1.80796,   60.1135E-03,   56.4070E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            0.,           30.,            0.,NA,NA,"",       1.83277,       1.81119,   280.386E-03,   34.7693E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,          -7.5,           30.,            0.,NA,NA,"",       1.88223,       1.81443,   500.658E-03,   86.6364E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,          -15.,           30.,            0.,NA,NA,"",       1.95541,       1.81766,   720.929E-03,   6.81441E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,          -15.,         21.25,            0.,NA,NA,"",       1.72073,       1.56068,   724.703E-03,   88.6328E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,          -15.,          12.5,            0.,NA,NA,"",       1.49342,       1.30370,   728.477E-03,   57.1562E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,          -15.,          3.75,            0.,NA,NA,"",       1.27742,       1.04672,   732.253E-03,   184.926E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            17,          -15.,           -5.,            0.,NA,NA,"",       1.07954,   789.732E-03,   736.028E-03,   15.3218E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            18,          -10.,           -5.,            0.,NA,NA,"",   983.569E-03,   787.575E-03,   589.180E-03,   89.5765E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            19,           -5.,           -5.,            0.,NA,NA,"",   901.409E-03,   785.417E-03,   442.332E-03,   287.990E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            20,            0.,           -5.,            0.,NA,NA,"",   837.140E-03,   783.258E-03,   295.483E-03,   612.369E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            21,            5.,           -5.,            0.,NA,NA,"",   795.105E-03,   781.090E-03,   148.632E-03,   5.41956E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            22,            5.,        -11.25,            0.,NA,NA,"",   616.073E-03,   597.319E-03,   150.851E-03,   306.555E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            23,            5.,         -17.5,            0.,NA,NA,"",   452.839E-03,   428.817E-03,   145.528E-03,   4.82599E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            24,            5.,        -23.75,            0.,NA,NA,"",   249.654E-03,   213.146E-03,   129.984E-03,   12.9048E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            25,            5.,          -30.,            0.,NA,NA,"",            0.,   11.7612E-39,   21.5211E-39,   42.0547E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            26,           15.,          -30.,            0.,NA,NA,"",            0.,   12.3685E-39,  -20.9413E-39,   40.3535E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            27,           15.,         -22.5,            0.,NA,NA,"",   267.950E-03,   233.043E-03,  -132.242E-03,   6.34607E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            28,           15.,          -15.,            0.,NA,NA,"",   502.651E-03,   481.895E-03,  -142.951E-03,   813.335E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            29,           15.,          -7.5,            0.,NA,NA,"",   718.098E-03,   703.513E-03,  -143.993E-03,   37.0975E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            30,           15.,            0.,            0.,NA,NA,"",   935.305E-03,   923.648E-03,  -147.204E-03,   3.13435E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            31,           15.,           7.5,            0.,NA,NA,"",       1.15376,       1.14391,  -150.449E-03,   551.743E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            32,           15.,           15.,            0.,NA,NA,"",       1.37281,       1.36418,  -153.686E-03,   290.093E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            33,           15.,          22.5,            0.,NA,NA,"",       1.59220,       1.58445,  -156.923E-03,   97.4255E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            34,           2.5,           20.,            0.,NA,NA,"",       1.53106,       1.51642,   211.275E-03,   86.0995E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            35,            5.,           15.,            0.,NA,NA,"",       1.37563,       1.36849,   140.006E-03,   377.692E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            36,            5.,          17.5,            0.,NA,NA,"",       1.44859,       1.44191,   138.928E-03,   338.674E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            37,            5.,           7.5,            0.,NA,NA,"",       1.15712,       1.14822,   143.238E-03,   450.863E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            38,            5.,           10.,            0.,NA,NA,"",       1.22989,       1.22164,   142.161E-03,   489.567E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            39,           2.5,            5.,            0.,NA,NA,"",       1.09770,       1.07588,   217.742E-03,   111.711E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            40,          -2.5,            5.,            0.,NA,NA,"",       1.13802,       1.07804,   364.594E-03,   520.748E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            41,           -5.,           10.,            0.,NA,NA,"",       1.30114,       1.22596,   435.863E-03,   42.5600E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            42,           -5.,           7.5,            0.,NA,NA,"",       1.23258,       1.15254,   436.941E-03,   145.623E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            43,           -5.,          17.5,            0.,NA,NA,"",       1.50955,       1.44623,   432.627E-03,   150.769E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            44,           -5.,           15.,            0.,NA,NA,"",       1.43969,       1.37281,   433.706E-03,   48.9956E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            45,          -2.5,           20.,            0.,NA,NA,"",       1.56023,       1.51857,   358.124E-03,   165.451E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            46,          12.5,           30.,            0.,NA,NA,"",       1.80788,       1.80580,  -86.7346E-03,   9.16239E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            47,           10.,           30.,            0.,NA,NA,"",       1.80693,       1.80688,  -13.3106E-03,   32.5385E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            48,            5.,           30.,            0.,NA,NA,"",       1.81396,       1.80903,   133.538E-03,   51.0000E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            49,           2.5,           30.,            0.,NA,NA,"",       1.82191,       1.81011,   206.962E-03,   16.9817E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            50,          -2.5,           30.,            0.,NA,NA,"",       1.84648,       1.81227,   353.810E-03,   75.1402E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            51,           -5.,           30.,            0.,NA,NA,"",       1.86300,       1.81335,   427.234E-03,   97.6176E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            52,          -10.,           30.,            0.,NA,NA,"",       1.90411,       1.81550,   574.082E-03,   51.8359E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            53,         -12.5,           30.,            0.,NA,NA,"",       1.92853,       1.81658,   647.505E-03,   16.3150E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            54,          -15.,       27.8125,            0.,NA,NA,"",       1.89620,       1.75342,   721.873E-03,   14.6749E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            55,          -15.,        25.625,            0.,NA,NA,"",       1.83732,       1.68917,   722.816E-03,   42.7930E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            56,          -15.,       23.4375,            0.,NA,NA,"",       1.77882,       1.62492,   723.760E-03,   72.9065E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            57,          -15.,       19.0625,            0.,NA,NA,"",       1.66309,       1.49643,   725.647E-03,   79.9494E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            58,          -15.,        16.875,            0.,NA,NA,"",       1.60596,       1.43219,   726.590E-03,   46.8347E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            59,          -15.,       14.6875,            0.,NA,NA,"",       1.54938,       1.36794,   727.534E-03,   8.49115E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            60,          -15.,       10.3125,            0.,NA,NA,"",       1.43816,       1.23945,   729.421E-03,   112.399E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            61,          -15.,         8.125,            0.,NA,NA,"",       1.38367,       1.17521,   730.365E-03,   163.070E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            62,          -15.,        5.9375,            0.,NA,NA,"",       1.33006,       1.11096,   731.309E-03,   189.439E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            63,          -15.,        1.5625,            0.,NA,NA,"",       1.22590,   982.470E-03,   733.197E-03,   137.100E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            64,          -15.,     -625.E-03,            0.,NA,NA,"",       1.17563,   918.224E-03,   734.141E-03,   65.7453E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            65,          -15.,       -2.8125,            0.,NA,NA,"",       1.12678,   853.978E-03,   735.085E-03,   12.5805E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            66,         -12.5,           -5.,            0.,NA,NA,"",       1.03006,   788.653E-03,   662.604E-03,   14.8528E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            67,          -7.5,           -5.,            0.,NA,NA,"",   940.522E-03,   786.496E-03,   515.756E-03,   193.731E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            68,          -2.5,           -5.,            0.,NA,NA,"",   866.764E-03,   784.338E-03,   368.908E-03,   396.313E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            69,           2.5,           -5.,            0.,NA,NA,"",   813.089E-03,   782.178E-03,   222.059E-03,   1.59678E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            70,            5.,      -7.08333,            0.,NA,NA,"",   735.207E-03,   719.844E-03,   149.513E-03,   25.2619E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            71,            5.,      -9.16667,            0.,NA,NA,"",   675.501E-03,   658.568E-03,   150.296E-03,   107.008E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            72,            5.,      -13.3333,            0.,NA,NA,"",   557.308E-03,   536.549E-03,   150.692E-03,   781.097E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            73,            5.,      -15.4167,            0.,NA,NA,"",   500.476E-03,   477.573E-03,   149.667E-03,   1.98802E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            74,            5.,      -19.5833,            0.,NA,NA,"",   403.045E-03,   375.532E-03,   146.361E-03,   8.87378E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            75,            5.,      -21.6667,            0.,NA,NA,"",   334.050E-03,   302.745E-03,   141.190E-03,   10.2206E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            76,            5.,      -25.8333,            0.,NA,NA,"",   161.428E-03,   126.044E-03,   100.855E-03,   18.4438E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            77,            5.,      -27.9167,            0.,NA,NA,"",   86.6409E-03,   61.3807E-03,   61.1478E-03,   27.7238E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            78,           7.5,          -30.,            0.,NA,NA,"",            0.,   11.1440E-39,   13.5856E-39,   9.67506E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            79,           10.,          -30.,            0.,NA,NA,"",            0.,   5.55632E-39,   3.73798E-39,   6.91936E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            80,          12.5,          -30.,            0.,NA,NA,"",            0.,   14.4326E-39,  -19.7033E-39,   9.93866E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            81,           15.,         -27.5,            0.,NA,NA,"",   98.0821E-03,   70.1628E-03,  -68.5368E-03,   24.5326E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            82,           15.,          -25.,            0.,NA,NA,"",   182.273E-03,   146.269E-03,  -108.762E-03,   13.3437E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            83,           15.,          -20.,            0.,NA,NA,"",   350.715E-03,   320.754E-03,  -141.837E-03,   1.39235E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            84,           15.,         -17.5,            0.,NA,NA,"",   428.731E-03,   403.980E-03,  -143.565E-03,   618.593E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            85,           15.,         -12.5,            0.,NA,NA,"",   574.620E-03,   556.630E-03,  -142.658E-03,   442.607E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            86,           15.,          -10.,            0.,NA,NA,"",   646.235E-03,   630.190E-03,  -143.110E-03,   158.606E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            87,           15.,           -5.,            0.,NA,NA,"",   790.278E-03,   776.856E-03,  -145.035E-03,   2.68948E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            88,           15.,          -2.5,            0.,NA,NA,"",   862.704E-03,   850.240E-03,  -146.117E-03,   3.96252E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            89,           15.,           2.5,            0.,NA,NA,"",       1.00803,   997.065E-03,  -148.287E-03,   1.77137E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            90,           15.,            5.,            0.,NA,NA,"",       1.08086,       1.07049,  -149.369E-03,   934.305E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            91,           15.,           10.,            0.,NA,NA,"",       1.22673,       1.21733,  -151.528E-03,   410.249E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            92,           15.,          12.5,            0.,NA,NA,"",       1.29974,       1.29075,  -152.607E-03,   343.344E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            93,           15.,          17.5,            0.,NA,NA,"",       1.44591,       1.43760,  -154.765E-03,   232.321E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            94,           15.,           20.,            0.,NA,NA,"",       1.51904,       1.51102,  -155.844E-03,   165.157E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            95,           15.,           25.,            0.,NA,NA,"",       1.66538,       1.65787,  -158.002E-03,   40.8768E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            96,           15.,          27.5,            0.,NA,NA,"",       1.73859,       1.73130,  -159.080E-03,   9.56384E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            97,       7.09255,      -21.6558,            0.,NA,NA,"",   293.301E-03,   283.990E-03,   73.3128E-03,   13.0180E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            98,       7.09346,      -17.4368,            0.,NA,NA,"",   431.586E-03,   421.861E-03,   91.1039E-03,   4.83621E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            99,       7.15828,      -23.7452,            0.,NA,NA,"",   204.409E-03,   195.956E-03,   58.1753E-03,   15.5336E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           100,       7.44609,      -27.8729,            0.,NA,NA,"",   49.2950E-03,   44.8450E-03,   20.4676E-03,   17.1468E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           101,       7.30780,      -25.7939,            0.,NA,NA,"",   118.772E-03,   111.996E-03,   39.5437E-03,   14.9693E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           102,       7.08258,      -10.9526,            0.,NA,NA,"",   611.740E-03,   605.074E-03,   90.0656E-03,   266.416E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           103,       7.09950,      -13.1236,            0.,NA,NA,"",   548.978E-03,   541.457E-03,   90.5602E-03,   380.606E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           104,       6.95448,      -6.62029,            0.,NA,NA,"",   738.353E-03,   732.609E-03,   91.9216E-03,   43.3029E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           105,       7.04974,      -8.78764,            0.,NA,NA,"",   674.840E-03,   668.803E-03,   90.0634E-03,   117.592E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           106,       7.10540,      -15.2896,            0.,NA,NA,"",   487.965E-03,   479.291E-03,   91.5935E-03,   888.748E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           107,       7.08223,      -19.5608,            0.,NA,NA,"",   369.867E-03,   360.016E-03,   84.7926E-03,   9.70294E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           108,      -11.8989,       25.3809,            0.,NA,NA,"",       1.79551,       1.68066,   631.844E-03,   52.1767E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           109,      -12.7134,       3.51066,            0.,NA,NA,"",       1.23345,       1.03870,   665.200E-03,   121.321E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           110,      -13.0834,       10.3867,            0.,NA,NA,"",       1.41162,       1.24080,   673.100E-03,   99.5260E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           111,      -12.9355,       8.20912,            0.,NA,NA,"",       1.35400,       1.17679,   669.696E-03,   114.760E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           112,      -13.1801,       12.5484,            0.,NA,NA,"",       1.46865,       1.30433,   675.009E-03,   79.2692E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           113,      -12.7454,       20.6010,            0.,NA,NA,"",       1.67558,       1.54065,   658.766E-03,   40.8796E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           114,      -13.1621,       18.5389,            0.,NA,NA,"",       1.62561,       1.48026,   671.894E-03,   49.0846E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           115,      -12.3840,       22.8683,            0.,NA,NA,"",       1.73249,       1.60708,   647.174E-03,   44.1426E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           116,      -13.4658,       16.5948,            0.,NA,NA,"",       1.57811,       1.42330,   681.653E-03,   49.2282E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           117,      -13.3466,       14.6489,            0.,NA,NA,"",       1.52553,       1.36610,   678.991E-03,   59.1391E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           118,      -12.3609,       5.76892,            0.,NA,NA,"",       1.28386,       1.10487,   653.873E-03,   110.891E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           119,      -12.8583,       1.39410,            0.,NA,NA,"",       1.18454,   976.600E-03,   670.369E-03,   122.967E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           120,      -12.6304,  -685.754E-03,            0.,NA,NA,"",       1.13121,   915.417E-03,   664.572E-03,   110.688E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           121,   38.5673E-03,       27.2989,            0.,NA,NA,"",       1.75440,       1.73184,   280.419E-03,   67.0364E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           122,      -4.16985,       22.2766,            0.,NA,NA,"",       1.63734,       1.58616,   406.185E-03,   104.206E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           123,      -7.85548,       28.0855,            0.,NA,NA,"",       1.83136,       1.75835,   511.924E-03,   52.0120E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           124,       9.92813,      -27.7267,            0.,NA,NA,"",   43.0748E-03,   43.0742E-03,  -225.737E-06,   14.1558E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           125,       13.1106,      -17.4438,            0.,NA,NA,"",   415.665E-03,   406.987E-03,  -84.4881E-03,   1.18404E-03
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           126,       12.8150,       2.64061,            0.,NA,NA,"",       1.00567,       1.00214,  -84.1812E-03,   1.04807E-06
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           127,       7.56819,       12.3225,            0.,NA,NA,"",       1.29042,       1.28875,   65.7346E-03,   236.672E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           128,       7.47113,       19.8748,            0.,NA,NA,"",       1.51201,       1.51059,   65.3285E-03,   154.173E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           129,       12.4223,       27.5153,            0.,NA,NA,"",       1.73486,       1.73286,  -83.3808E-03,   34.5950E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           130,       12.3750,       22.5091,            0.,NA,NA,"",       1.58785,       1.58585,  -79.8319E-03,   94.9803E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           131,       7.58839,       27.9970,            0.,NA,NA,"",       1.75007,       1.74909,   58.3815E-03,   45.1636E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           132,   199.805E-03,       22.3057,            0.,NA,NA,"",       1.60929,       1.58513,   277.837E-03,   90.4104E-09
C:/temp/dataset/9/23_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",           133,       12.6934,       9.82310,            0.,NA,NA,"",       1.21601,       1.21313,  -83.7081E-03,   242.499E-09
