ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,            5.,           20.,            0.,NA,NA,"",   226.955E-03,   225.453E-03,   26.0694E-03,   428.569E-12
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,            0.,           20.,            0.,NA,NA,"",   230.161E-03,   225.493E-03,   46.1205E-03,   186.840E-12
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,            5.,          12.5,            0.,NA,NA,"",   197.116E-03,   195.376E-03,   26.1297E-03,   384.903E-12
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,            5.,            5.,            0.,NA,NA,"",   167.362E-03,   165.300E-03,   26.1901E-03,   30.6308E-09
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,            0.,            5.,            0.,NA,NA,"",   171.684E-03,   165.340E-03,   46.2412E-03,   6.25282E-09
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,           -5.,            5.,            0.,NA,NA,"",   178.172E-03,   165.380E-03,   66.2923E-03,   4.95713E-09
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           -5.,          12.5,            0.,NA,NA,"",   206.373E-03,   195.457E-03,   66.2319E-03,   2.04770E-09
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           -5.,           20.,            0.,NA,NA,"",   235.040E-03,   225.533E-03,   66.1716E-03,   1.59214E-09
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           15.,           30.,            0.,NA,NA,"",   265.850E-03,   265.475E-03,  -14.1132E-03,   9.60449E-12
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           7.5,           30.,            0.,NA,NA,"",   266.014E-03,   265.535E-03,   15.9635E-03,   285.437E-12
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            0.,           30.,            0.,NA,NA,"",   269.556E-03,   265.595E-03,   46.0401E-03,   640.720E-12
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,          -7.5,           30.,            0.,NA,NA,"",   276.345E-03,   265.656E-03,   76.1167E-03,   576.457E-12
C:/temp/dataset/9/24_6.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,          -15.,           30.,            0.,NA,NA,"",   286.150E-03,   265.716E-03,   106.193E-03,   18.6809E-12
