ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             1,          -15.,           20.,            0.,NA,NA,"",       14.4032,       14.3722,   945.045E-03,   213.703E-09
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             2,          -15.,           25.,            0.,NA,NA,"",       16.7810,       16.7778,   328.317E-03,   2.26200E-06
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             3,          -10.,           20.,            0.,NA,NA,"",       13.8328,       13.7554,      -1.46055,   4.81214E-06
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             4,           -5.,           20.,            0.,NA,NA,"",       13.6957,       13.1386,      -3.86622,   11.0805E-06
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             5,            0.,           20.,            0.,NA,NA,"",       14.0054,       12.5223,      -6.27245,   429.501E-06
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             6,            5.,           20.,            0.,NA,NA,"",       14.7386,       11.9145,      -8.67581,   2.24844E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             7,            5.,          12.5,            0.,NA,NA,"",       11.4239,       8.37452,      -7.76995,   2.65684E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             8,            5.,            5.,            0.,NA,NA,"",       8.40102,       4.85322,      -6.85736,   23.2421E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",             9,           -5.,            5.,            0.,NA,NA,"",       5.89835,       5.35386,      -2.47522,   64.7078E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            10,          -15.,            5.,            0.,NA,NA,"",       5.68746,       5.63167,   794.681E-03,   2.59179E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            11,          -15.,         -3.75,            0.,NA,NA,"",       2.98715,       2.79366,       1.05761,   66.1649E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            12,          -15.,         -12.5,            0.,NA,NA,"",       1.03178,   782.489E-03,   672.519E-03,   75.5852E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            13,          -15.,        -21.25,            0.,NA,NA,"",   205.230E-03,   18.6379E-03,   204.382E-03,   48.0445E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            14,          -15.,          -30.,            0.,NA,NA,"",            0.,  -605.133E-42,  -1.13893E-39,   6.00626E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            15,           15.,          -30.,            0.,NA,NA,"",            0.,  -169.788E-42,   283.645E-42,   599.584E-06
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            16,           15.,          -25.,            0.,NA,NA,"",   2.82093E-03,   2.81906E-03,   102.881E-06,   253.230E-06
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            17,           15.,          -20.,            0.,NA,NA,"",   3.34751E-03,   3.29588E-03,   585.691E-06,   36.9228E-06
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            18,            5.,          -20.,            0.,NA,NA,"",   2.17666E-03,  -2.04062E-03,  -757.430E-06,   1.83530E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            19,           -5.,          -20.,            0.,NA,NA,"",   213.501E-03,  -3.33669E-03,  -213.475E-03,   77.2106E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            20,           -5.,         -12.5,            0.,NA,NA,"",       1.05855,   684.248E-03,  -807.670E-03,   82.7671E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            21,           -5.,           -5.,            0.,NA,NA,"",       2.40018,       1.83815,      -1.54339,   139.256E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            22,            0.,           -5.,            0.,NA,NA,"",       3.80126,       1.07443,      -3.64626,   41.2902E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            23,            5.,           -5.,            0.,NA,NA,"",       5.82752,   410.192E-03,      -5.81307,   23.8164E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            24,           10.,           -5.,            0.,NA,NA,"",       8.09748,  -210.722E-03,      -8.09474,   5.54209E-03
C:/temp/dataset/2/4_10.odb,Step-1,Increment      4: Step Time =    1.000,"PART-1-1",            25,           15.,           -5.,            0.,NA,NA,"",       10.4270,  -778.714E-03,      -10.3978,   431.649E-06
