ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,           -5.,           30.,            0.,NA,NA,"",       16.1420,      -14.5685,      -6.95143,   325.707E-12
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,          -15.,           30.,            0.,NA,NA,"",       17.3201,      -14.0508,      -10.1272,   269.598E-12
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,          -15.,         21.25,            0.,NA,NA,"",       14.8543,      -11.2720,      -9.67426,   35.8262E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,          -15.,          12.5,            0.,NA,NA,"",       12.5366,      -8.49317,      -9.22128,   1.36166E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,          -15.,          3.75,            0.,NA,NA,"",       10.4660,      -5.71442,      -8.76828,   9.94308E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,          -15.,           -5.,            0.,NA,NA,"",       8.81849,      -2.93599,      -8.31539,   1.01326E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,          -10.,           -5.,            0.,NA,NA,"",       7.44779,      -3.19474,      -6.72779,   11.4411E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           -5.,           -5.,            0.,NA,NA,"",       6.19239,      -3.45295,      -5.14032,   360.925E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,            0.,           -5.,            0.,NA,NA,"",       5.13204,      -3.70795,      -3.54809,   3.12926E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,            5.,           -5.,            0.,NA,NA,"",       4.41090,      -3.99163,      -1.87696,   46.9619E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            5.,        -11.25,            0.,NA,NA,"",       2.77472,      -2.41306,      -1.36976,   53.5925E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,            5.,         -17.5,            0.,NA,NA,"",       1.48100,      -1.17144,  -906.141E-03,   64.5451E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,            5.,        -23.75,            0.,NA,NA,"",   584.147E-03,  -364.966E-03,  -456.100E-03,   75.6499E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,            5.,          -30.,            0.,NA,NA,"",            0.,  -24.3476E-39,  -47.0977E-39,   94.7619E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,           15.,          -30.,            0.,NA,NA,"",            0.,  -28.3071E-39,   52.1761E-39,   98.1673E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,           15.,         -22.5,            0.,NA,NA,"",   762.801E-03,  -558.213E-03,   519.869E-03,   74.9582E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            17,           15.,          -15.,            0.,NA,NA,"",       2.02303,      -1.82393,   875.175E-03,   61.5469E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            18,           15.,          -7.5,            0.,NA,NA,"",       3.84699,      -3.71181,       1.01084,   46.8052E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            19,           15.,            0.,            0.,NA,NA,"",       6.09819,      -6.03122,   901.302E-03,   27.2736E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            20,           15.,           7.5,            0.,NA,NA,"",       8.59118,      -8.56847,   624.213E-03,   19.5518E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            21,           15.,           15.,            0.,NA,NA,"",       11.2757,      -11.2736,   220.589E-03,   7.73340E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            22,           15.,          22.5,            0.,NA,NA,"",       13.9974,      -13.9948,  -273.015E-03,   2.13858E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            23,           15.,           30.,            0.,NA,NA,"",       16.7051,      -16.6873,  -769.634E-03,   18.7708E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            24,            5.,           30.,            0.,NA,NA,"",       16.6035,      -16.0188,      -4.36746,   12.3938E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            25,            5.,         23.75,            0.,NA,NA,"",       14.3235,      -13.7683,      -3.94932,   381.039E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            26,            5.,          17.5,            0.,NA,NA,"",       12.0363,      -11.5090,      -3.52349,   2.80599E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            27,            5.,         11.25,            0.,NA,NA,"",       9.76203,      -9.26901,      -3.06313,   13.1114E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            28,            5.,            5.,            0.,NA,NA,"",       7.55924,      -7.11800,      -2.54484,   33.3018E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            29,            0.,            5.,            0.,NA,NA,"",       7.99574,      -6.88204,      -4.07055,   2.62941E-03
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            30,           -5.,            5.,            0.,NA,NA,"",       8.71452,      -6.62882,      -5.65700,   270.311E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            31,           -5.,         11.25,            0.,NA,NA,"",       10.4866,      -8.61388,      -5.98077,   2.91629E-06
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            32,           -5.,          17.5,            0.,NA,NA,"",       12.3320,      -10.5988,      -6.30433,   42.8096E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            33,           -5.,         23.75,            0.,NA,NA,"",       14.2224,      -12.5836,      -6.62788,   15.2404E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            34,          -7.5,           30.,            0.,NA,NA,"",       16.3853,      -14.4391,      -7.74538,   1.14089E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            35,          -10.,           30.,            0.,NA,NA,"",       16.6639,      -14.3097,      -8.53933,   2.52397E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            36,         -12.5,           30.,            0.,NA,NA,"",       16.9761,      -14.1802,      -9.33328,   1.15544E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            37,          -15.,       27.8125,            0.,NA,NA,"",       16.6933,      -13.3561,      -10.0140,   1.05364E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            38,          -15.,        25.625,            0.,NA,NA,"",       16.0728,      -12.6614,      -9.90074,   5.55522E-09
C:/temp/dataset/4/26_4.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            39,          -15.,       23.4375,            0.,NA,NA,"",       15.4595,      -11.9667,      -9.78750,   16.8793E-09
