ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,          -15.,           20.,            0.,NA,NA,"",       1.44047,   931.076E-03,       1.09911,   179.836E-06
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,          -15.,           25.,            0.,NA,NA,"",       1.59268,       1.15761,       1.09389,   35.1722E-06
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,      -11.6500,           20.,            0.,NA,NA,"",       1.32711,   928.236E-03,   948.466E-03,   541.503E-06
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,      -8.30000,           20.,            0.,NA,NA,"",       1.21949,   924.502E-03,   795.263E-03,   785.897E-06
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,           -5.,           20.,            0.,NA,NA,"",       1.12484,   923.397E-03,   642.341E-03,   1.08972E-03
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,      -1.65000,           20.,            0.,NA,NA,"",       1.04599,   923.965E-03,   490.284E-03,   1.58708E-03
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,       1.70000,           20.,            0.,NA,NA,"",   986.552E-03,   925.841E-03,   340.737E-03,   2.62315E-03
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,            5.,           20.,            0.,NA,NA,"",   951.610E-03,   932.182E-03,   191.306E-03,   6.28138E-03
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,            5.,         13.75,            0.,NA,NA,"",   741.104E-03,   721.948E-03,   167.410E-03,   4.32721E-03
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,            5.,           7.5,            0.,NA,NA,"",   552.355E-03,   532.755E-03,   145.834E-03,   4.38932E-03
C:/temp/dataset/7/20_1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            5.,          1.25,            0.,NA,NA,"",   391.845E-03,   371.989E-03,   123.155E-03,   4.42129E-03
