ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,            5.,           20.,            0.,NA,NA,"",       5.72945,       5.71151,  -453.061E-03,   48.3041E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,            0.,           20.,            0.,NA,NA,"",       5.68873,       5.67058,  -454.066E-03,   15.3518E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,            5.,           10.,            0.,NA,NA,"",       4.76466,       4.76456,   29.4734E-03,   38.8085E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,            5.,            0.,            0.,NA,NA,"",       3.17588,       3.15405,   371.732E-03,   8.58965E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,            5.,          -10.,            0.,NA,NA,"",       1.54057,       1.47417,   447.406E-03,   23.0242E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,            5.,          -20.,            0.,NA,NA,"",   252.279E-03,   208.812E-03,   141.570E-03,   65.8760E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,            0.,          -20.,            0.,NA,NA,"",   120.857E-03,   120.812E-03,   3.30727E-03,   2.40576E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           -5.,          -20.,            0.,NA,NA,"",   217.813E-03,   178.492E-03,  -124.833E-03,   62.0384E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           -5.,           20.,            0.,NA,NA,"",       5.54031,       5.52502,  -411.335E-03,   71.8009E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           15.,           30.,            0.,NA,NA,"",       6.11920,       6.04774,  -932.429E-03,   472.575E-06
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,           7.5,           30.,            0.,NA,NA,"",       6.05585,       6.02130,  -645.921E-03,   11.2090E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,            0.,           30.,            0.,NA,NA,"",       6.00621,       5.98754,  -473.198E-03,   7.66267E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,          -15.,           30.,            0.,NA,NA,"",       6.18362,       6.17512,   324.206E-03,   856.698E-06
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,          -15.,          -30.,            0.,NA,NA,"",            0.,   17.1833E-39,   30.2582E-39,   47.5429E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,           15.,          -30.,            0.,NA,NA,"",            0.,   16.0432E-39,  -30.5208E-39,   50.3194E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,           15.,         -22.5,            0.,NA,NA,"",   363.818E-03,   183.442E-03,  -314.186E-03,   53.6721E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            17,           15.,          -15.,            0.,NA,NA,"",       1.03451,   750.942E-03,  -711.538E-03,   50.2541E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            18,           15.,          -7.5,            0.,NA,NA,"",       2.06827,       1.78349,      -1.04733,   27.0365E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            19,           15.,            0.,            0.,NA,NA,"",       3.29797,       3.04840,      -1.25853,   3.53539E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            20,           15.,           7.5,            0.,NA,NA,"",       4.50283,       4.30974,      -1.30444,   21.1623E-03
C:/temp/dataset/0/9_9.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            21,           15.,           15.,            0.,NA,NA,"",       5.41620,       5.29109,      -1.15743,   37.0847E-03
