ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,            5.,           20.,            0.,NA,NA,"",       1.35286,      -1.35069,   76.5421E-03,   3.84921E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,            0.,           20.,            0.,NA,NA,"",       1.32813,      -1.32665,   62.5404E-03,   5.54189E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,            5.,           10.,            0.,NA,NA,"",       1.32258,      -1.32211,   35.4261E-03,   6.50229E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,            5.,            0.,            0.,NA,NA,"",       1.18522,      -1.18448,  -41.9022E-03,   11.0436E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,            5.,          -10.,            0.,NA,NA,"",   855.865E-03,  -840.871E-03,  -159.502E-03,   13.7720E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,            5.,          -20.,            0.,NA,NA,"",   194.635E-03,  -170.273E-03,  -94.2868E-03,   44.3206E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,            0.,          -20.,            0.,NA,NA,"",   86.6875E-03,  -86.5415E-03,  -5.02902E-03,   5.53054E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           -5.,          -20.,            0.,NA,NA,"",   87.9177E-03,  -82.1568E-03,   31.3016E-03,   13.3515E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           -5.,           20.,            0.,NA,NA,"",       1.29029,      -1.28965,   40.5723E-03,   14.3716E-03
C:/temp/dataset/0/6_12.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           15.,           30.,            0.,NA,NA,"",       1.38171,      -1.37811,   99.7154E-03,   14.7235E-06
